Rebuild completion watcher started.
Watching: C:\Users\1028120\Documents\Scripts\corp-monorepo\.ecosystem\rebuild_staging\source_library\rebuild\status.json
[07:03:10] Progress: 160/257
Traceback (most recent call last):
  File "C:\Users\1028120\Documents\Scripts\corp-monorepo\scripts\rebuild_complete.py", line 75, in <module>
    
  File "C:\Users\1028120\Documents\Scripts\corp-monorepo\scripts\rebuild_complete.py", line 40, in main
    cwd=cwd or MONOREPO,
           ^^^^^^^^^^^^^^
  File "C:\Users\1028120\Documents\Scripts\corp-monorepo\scripts\rebuild_complete.py", line 23, in count_done
    
  File "C:\Users\1028120\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py", line 346, in loads
    return _default_decoder.decode(s)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\1028120\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py", line 338, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\1028120\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py", line 354, in raw_decode
    obj, end = self.scan_once(s, idx)
               ^^^^^^^^^^^^^^^^^^^^^^
json.decoder.JSONDecodeError: Expecting property name enclosed in double quotes: line 260 column 5 (char 7936)

[07:05:09] === WATCHER RESTARTED (bvxxz81ty crashed on JSON race condition) ===
[2026-03-27T07:05:09] Rebuild completion watcher started.
Watching: C:\Users\1028120\Documents\Scripts\corp-monorepo\.ecosystem\rebuild_staging\source_library\rebuild\status.json
Target: 257 files
[07:05:09] Progress: 162/257 (errors: 2)
[07:06:09] Progress: 162/257 (errors: 2)
[07:07:09] Progress: 162/257 (errors: 2)
[07:08:09] Progress: 164/257 (errors: 2)
[07:09:09] Progress: 164/257 (errors: 2)
[07:10:09] Progress: 164/257 (errors: 2)
[07:11:09] Progress: 164/257 (errors: 2)
[07:12:09] Progress: 164/257 (errors: 2)
[07:13:09] Progress: 164/257 (errors: 2)
[07:14:09] Progress: 164/257 (errors: 2)
[07:15:09] Progress: 164/257 (errors: 2)
[07:16:09] Progress: 165/257 (errors: 2)
[07:17:09] Progress: 165/257 (errors: 2)
[07:18:09] Progress: 165/257 (errors: 2)
[07:19:09] Progress: 165/257 (errors: 3)
[07:20:09] Progress: 166/257 (errors: 3)
[07:21:09] Progress: 166/257 (errors: 3)
[07:22:09] Progress: 167/257 (errors: 3)
[07:23:09] Progress: 167/257 (errors: 3)
[07:24:09] Progress: 167/257 (errors: 3)
[07:25:09] Progress: 167/257 (errors: 3)
[07:26:09] Progress: 168/257 (errors: 3)
[07:27:09] Progress: 168/257 (errors: 3)
[07:28:09] Progress: 168/257 (errors: 3)
[07:29:09] Progress: 168/257 (errors: 3)
[07:30:09] Progress: 169/257 (errors: 3)
[07:31:09] Progress: 169/257 (errors: 3)
[07:32:09] Progress: 169/257 (errors: 3)
[07:33:09] Progress: 171/257 (errors: 3)
[07:34:09] Progress: 172/257 (errors: 3)
[07:35:09] Progress: 172/257 (errors: 3)
[07:36:09] Progress: 172/257 (errors: 3)
[07:37:09] Progress: 172/257 (errors: 3)
[07:38:09] Progress: 172/257 (errors: 3)
[07:39:09] Progress: 172/257 (errors: 3)
[07:40:09] Progress: 172/257 (errors: 3)
[07:41:09] Progress: 172/257 (errors: 3)
[07:42:09] Progress: 172/257 (errors: 3)
[07:43:09] Progress: 173/257 (errors: 3)
[07:44:09] Progress: 173/257 (errors: 3)
[07:45:09] Progress: 173/257 (errors: 3)
[07:46:09] Progress: 173/257 (errors: 3)
[07:47:09] Progress: 173/257 (errors: 3)
[07:48:09] Progress: 173/257 (errors: 3)
[07:49:09] Progress: 173/257 (errors: 3)
[07:50:09] Progress: 173/257 (errors: 3)
[07:51:09] Progress: 173/257 (errors: 3)
[07:52:09] Progress: 174/257 (errors: 3)
[07:53:09] Progress: 175/257 (errors: 3)
[07:54:09] Progress: 176/257 (errors: 3)
[07:55:09] Progress: 176/257 (errors: 3)
[07:56:09] Progress: 177/257 (errors: 3)
[07:57:09] Progress: 177/257 (errors: 3)
[07:58:09] Progress: 177/257 (errors: 3)
[07:59:09] Progress: 179/257 (errors: 3)
[08:00:09] Progress: 180/257 (errors: 3)
[08:01:09] Progress: 180/257 (errors: 3)
[08:02:09] Progress: 180/257 (errors: 3)
[08:03:09] Progress: 181/257 (errors: 3)
[08:04:09] Progress: 181/257 (errors: 3)
[08:05:09] Progress: 182/257 (errors: 3)
[08:06:09] Progress: 183/257 (errors: 3)
[08:07:09] Progress: 183/257 (errors: 3)
[08:08:09] Progress: 183/257 (errors: 3)
[08:09:09] Progress: 183/257 (errors: 3)
[08:10:09] Progress: 183/257 (errors: 3)
[08:11:09] Progress: 183/257 (errors: 3)
[08:12:09] Progress: 183/257 (errors: 3)
[08:13:09] Progress: 184/257 (errors: 3)
[08:14:09] Progress: 184/257 (errors: 3)
[08:15:09] Progress: 184/257 (errors: 3)
[08:16:09] Progress: 184/257 (errors: 3)
[08:17:09] Progress: 185/257 (errors: 3)
[08:18:09] Progress: 185/257 (errors: 3)
[08:19:09] Progress: 186/257 (errors: 3)
[08:20:09] Progress: 187/257 (errors: 3)
[08:21:09] Progress: 188/257 (errors: 3)
[08:22:09] Progress: 189/257 (errors: 3)
[08:23:09] Progress: 190/257 (errors: 3)
[08:24:09] Progress: 190/257 (errors: 3)
[08:25:09] Progress: 191/257 (errors: 3)
[08:26:09] Progress: 193/257 (errors: 3)
[08:27:09] Progress: 193/257 (errors: 3)
[08:28:09] Progress: 194/257 (errors: 3)
[08:29:09] Progress: 194/257 (errors: 3)
[08:30:09] Progress: 194/257 (errors: 3)
[08:31:09] Progress: 194/257 (errors: 3)
[08:32:09] Progress: 195/257 (errors: 3)
[08:33:09] Progress: 195/257 (errors: 3)
[08:34:09] Progress: 196/257 (errors: 3)
[08:35:09] Progress: 196/257 (errors: 3)
[08:36:09] Progress: 197/257 (errors: 3)
[08:37:09] Progress: 197/257 (errors: 3)
[08:38:09] Progress: 198/257 (errors: 3)
[08:39:09] Progress: 199/257 (errors: 3)
[08:40:09] Progress: 199/257 (errors: 3)
[08:41:09] Progress: 199/257 (errors: 3)
[08:42:09] Progress: 200/257 (errors: 3)
[08:43:09] Progress: 201/257 (errors: 3)
[08:44:09] Progress: 202/257 (errors: 3)
[08:45:09] Progress: 203/257 (errors: 3)
[08:46:09] Progress: 204/257 (errors: 3)
[08:47:09] Progress: 205/257 (errors: 3)
[08:48:09] Progress: 206/257 (errors: 3)
[08:49:09] Progress: 206/257 (errors: 3)
[08:50:09] Progress: 206/257 (errors: 3)
[08:51:09] Progress: 206/257 (errors: 3)
[08:52:09] Progress: 206/257 (errors: 3)
[08:53:09] Progress: 207/257 (errors: 3)
[08:54:09] Progress: 207/257 (errors: 3)
[08:55:09] Progress: 207/257 (errors: 3)
[08:56:09] Progress: 207/257 (errors: 3)
[08:57:09] Progress: 207/257 (errors: 3)
[08:58:09] Progress: 208/257 (errors: 3)
[08:59:09] Progress: 208/257 (errors: 3)
[09:00:09] Progress: 208/257 (errors: 3)
[09:01:09] Progress: 209/257 (errors: 3)
[09:02:09] Progress: 209/257 (errors: 3)
[09:03:09] Progress: 209/257 (errors: 4)
[09:04:09] Progress: 210/257 (errors: 4)
[09:05:09] Progress: 210/257 (errors: 4)
[09:06:09] Progress: 210/257 (errors: 4)
[09:07:09] Progress: 210/257 (errors: 5)
[09:08:09] Progress: 210/257 (errors: 5)
[09:09:09] Progress: 210/257 (errors: 8)
[09:10:09] Progress: 210/257 (errors: 8)
[09:11:09] Progress: 210/257 (errors: 19)
[09:12:09] Progress: 210/257 (errors: 19)
[09:13:09] Progress: 211/257 (errors: 24)
[09:14:09] Progress: 212/257 (errors: 24)
[09:15:09] Progress: 212/257 (errors: 24)
[09:16:09] Progress: 212/257 (errors: 25)
[09:17:09] Progress: 212/257 (errors: 25)
[09:18:09] Progress: 212/257 (errors: 29)
[09:19:09] Progress: 212/257 (errors: 29)
[09:20:09] Progress: 212/257 (errors: 32)
[09:21:09] Progress: 213/257 (errors: 32)
[09:22:09] Progress: 214/257 (errors: 33)
[09:23:09] Progress: 214/257 (errors: 33)
[09:24:09] Progress: 214/257 (errors: 35)
[09:25:09] Progress: 214/257 (errors: 35)
[09:26:09] Progress: 214/257 (errors: 37)
[09:27:09] Progress: 215/257 (errors: 37)
[09:28:09] Progress: 215/257 (errors: 37)
[09:29:09] Progress: 215/257 (errors: 38)
[09:30:09] Progress: 216/257 (errors: 38)
[09:31:09] Progress: 216/257 (errors: 38)
[09:32:09] Progress: 216/257 (errors: 41)
Batch complete: 216 done, 41 errors. Proceeding.

>>> corp ingest-extractions C:\Users\1028120\Documents\Scripts\corp-monorepo\.ecosystem\rebuild_staging --quality-threshold 25 --rebuild-index
       Ingest Results       
 Metric             | Count 
--------------------+-------
 Notes ingested     |   239 
 Quarantined        |     2 
 Skipped (verified) |     0 
 Cover slides       |     4 

Destinations:
  01_Knowledge: 239

2 note(s) quarantined to _quarantine/

Rebuilding search index...
Index rebuilt: 0 facts indexed.
INFO corp_by_os.ingest.extractions: Found 242 packages in C:\Users\1028120\Documents\Scripts\corp-monorepo\.ecosystem\rebuild_staging
INFO corp_by_os.ingest.extractions: Quarantined: 2026-03-27_other_questions_5c7f.md — quality_score 8 < 25
INFO corp_by_os.ingest.extractions: Quarantined: 2026-03-27_recordingpepsiemea202601_bce3.md — quality_score 18 < 25
INFO corp_by_os.index_builder: Indexed 777 CKE notes from vault
INFO corp_by_os.index_builder: Deduped 294 notes with identical source_hash
INFO corp_by_os.index_builder: Index rebuilt: 25 projects, 0 facts, 483 notes in 7.4s -> C:\Users\1028120\AppData\Local\corp-by-os\index.db


[Step 11] Running verification...

>>> corp trust-status
           Vault Trust Level Distribution            
+---------------------------------------------------+
| Trust Level     |    Count |                      |
|-----------------+----------+----------------------|
| extracted       |      471 | overwritable         |
| draft           |        2 | overwritable         |
| none            |       15 | legacy (no field)    |
| deprecated      |      326 | unknown              |
+---------------------------------------------------+

  Total notes: 814


>>> corp retrieve JLR TMS --verbose
Usage: corp retrieve [OPTIONS] QUERY
Try 'corp retrieve --help' for help.

Error: No such option: --verbose


>>> corp retrieve demand planning --verbose
Usage: corp retrieve [OPTIONS] QUERY
Try 'corp retrieve --help' for help.

Error: No such option: --verbose


>>> py C:\Users\1028120\Documents\Scripts\corp-monorepo\scripts\eval.py

==========================================================
  Extraction Quality Eval
==========================================================

[1a] Regex Classifier  (310 filenames, filename-only)
    Accuracy : 57.1%  (177/310)
    Top confusion pairs  (predicted -> expected  count):
                      None -> training             46x
                      None -> product_doc          20x
                      None -> architecture         18x
                      None -> meeting              11x
              architecture -> product_doc          5x
              presentation -> training             5x
                 discovery -> meeting              4x
